                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.6337,                 2.0833,                 2.1776,                 0.5046,                0.40783,                0.41267,                0.25149,                 1.3799,                 1.8912,                 1.8423,              0.0003749,              0.0003749,              0.0003749
                     55,                 1.6021,                 2.0347,                  2.143,                 0.5412,                0.45741,                0.42198,                 0.2603,                   1.38,                 1.8565,                 1.8308,             0.00037471,             0.00037471,             0.00037471
                     56,                 1.6186,                 2.0338,                 2.1329,                0.50505,                0.47243,                0.45679,                0.29211,                 1.3365,                 1.7976,                 1.8136,             0.00037452,             0.00037452,             0.00037452
                     57,                 1.5502,                  1.979,                 2.1294,                0.56632,                0.44025,                0.46406,                0.28437,                 1.3851,                 1.7848,                 1.8462,             0.00037433,             0.00037433,             0.00037433
                     58,                 1.5532,                 1.9143,                 2.1225,                0.52018,                0.44483,                0.43887,                0.26143,                 1.4948,                 1.7489,                 1.9326,             0.00037414,             0.00037414,             0.00037414
                     59,                 1.5657,                 1.9152,                 2.0995,                0.57412,                0.41036,                0.42803,                0.26891,                 1.3784,                 1.8553,                 1.8474,             0.00037395,             0.00037395,             0.00037395
                     60,                 1.5744,                 1.9399,                 2.0681,                0.61642,                0.45501,                0.47708,                0.28967,                 1.4076,                 1.7273,                 1.8379,             0.00037376,             0.00037376,             0.00037376
                     61,                 1.4985,                 1.7968,                 2.0367,                 0.5985,                0.47118,                0.49886,                0.31546,                 1.3474,                 1.6686,                 1.7969,             0.00037357,             0.00037357,             0.00037357
                     62,                 1.5464,                 1.8703,                 2.0443,                 0.5882,                0.40188,                0.47618,                0.28467,                 1.4121,                 1.8038,                 1.8811,             0.00037337,             0.00037337,             0.00037337
                     63,                 1.5297,                 1.8496,                 2.0368,                0.54945,                0.41532,                0.45333,                0.25633,                 1.5294,                  1.787,                 1.9783,             0.00037318,             0.00037318,             0.00037318
                     64,                 1.5009,                 1.8102,                 1.9981,                0.55777,                  0.435,                0.47664,                0.29323,                 1.3863,                 1.6908,                 1.8346,             0.00037299,             0.00037299,             0.00037299
                     65,                 1.5249,                 1.8403,                 2.0156,                 0.5948,                0.43642,                0.47949,                 0.2954,                 1.3973,                 1.7255,                 1.8508,              0.0003728,              0.0003728,              0.0003728
                     66,                 1.5569,                 1.8834,                 2.0472,                 0.6699,                0.47568,                0.53168,                0.31729,                 1.4636,                 1.5679,                 1.8672,             0.00037261,             0.00037261,             0.00037261
                     67,                 1.5051,                 1.8429,                 2.0508,                0.64573,                0.47573,                0.49551,                0.29165,                 1.5014,                 1.5605,                 1.8757,             0.00037242,             0.00037242,             0.00037242
                     68,                 1.4641,                 1.7614,                 1.9688,                0.59332,                 0.5003,                0.53243,                0.34607,                 1.2645,                 1.5191,                 1.7154,             0.00037223,             0.00037223,             0.00037223
                     69,                 1.4507,                 1.7434,                 1.9789,                0.62059,                0.50763,                0.54085,                 0.3513,                 1.2794,                 1.5369,                 1.7254,             0.00037204,             0.00037204,             0.00037204
                     70,                 1.5097,                 1.8196,                 2.0263,                0.64078,                 0.5055,                0.54312,                0.34213,                 1.3836,                 1.5455,                 1.7756,             0.00037185,             0.00037185,             0.00037185
                     71,                 1.4448,                 1.7791,                 1.9642,                0.50111,                0.30521,                0.36753,                 0.2209,                 1.5526,                  1.994,                 1.9234,             0.00037166,             0.00037166,             0.00037166
                     72,                 1.4418,                 1.7481,                 1.9718,                0.51558,                0.38029,                0.41725,                 0.2597,                  1.371,                 1.8886,                 1.8378,             0.00037147,             0.00037147,             0.00037147
                     73,                  1.473,                 1.7733,                 1.9559,                0.61023,                0.49453,                0.53607,                0.34662,                 1.2928,                 1.4646,                 1.7279,             0.00037128,             0.00037128,             0.00037128
                     74,                 1.4907,                 1.8121,                 1.9973,                0.70437,                0.47961,                0.56269,                0.36261,                 1.3117,                 1.4436,                 1.7419,             0.00037109,             0.00037109,             0.00037109
                     75,                 1.4447,                 1.7025,                 1.9749,                0.64557,                0.50796,                0.55489,                0.34011,                  1.385,                 1.5117,                 1.7981,              0.0003709,              0.0003709,              0.0003709
                     76,                 1.4542,                 1.6623,                 1.9595,                0.71304,                0.50192,                0.53631,                0.34053,                 1.3456,                 1.4656,                 1.7695,             0.00037071,             0.00037071,             0.00037071
                     77,                 1.4607,                 1.7021,                  1.936,                0.70723,                0.51943,                0.53589,                0.33973,                 1.3068,                 1.4168,                 1.7282,             0.00037052,             0.00037052,             0.00037052
