                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.8685,                 2.3839,                 2.4696,                0.44696,                0.31733,                0.28941,                0.15554,                 1.7115,                 2.4384,                 2.2525,             0.00021729,             0.00021729,             0.00021729
                     46,                 1.8777,                 2.4968,                 2.4915,                0.47549,                0.27191,                0.27594,                0.14389,                 1.8083,                 2.4859,                 2.2698,             0.00021348,             0.00021348,             0.00021348
                     47,                 1.8727,                 2.4032,                 2.4438,                0.45548,                0.27576,                0.28219,                0.15829,                 1.7388,                 2.4204,                 2.2098,             0.00020967,             0.00020967,             0.00020967
                     48,                 1.8008,                 2.3521,                  2.428,                0.55717,                 0.3234,                0.32501,                0.19782,                 1.5269,                 2.2312,                 2.0444,             0.00020586,             0.00020586,             0.00020586
                     49,                 1.8104,                 2.3144,                 2.4118,                0.58523,                 0.3454,                0.35949,                0.20782,                 1.5587,                 2.2385,                 2.0493,             0.00020205,             0.00020205,             0.00020205
                     50,                 1.7856,                 2.2928,                 2.3988,                0.57907,                0.34895,                0.34046,                0.19734,                 1.5734,                 2.1868,                 2.0528,             0.00019824,             0.00019824,             0.00019824
                     51,                 1.7641,                 2.2921,                 2.3409,                 0.6012,                0.38211,                0.34413,                0.19817,                 1.5575,                 2.1723,                 2.0594,             0.00019442,             0.00019442,             0.00019442
                     52,                  1.778,                 2.3345,                 2.3946,                0.58721,                0.39141,                0.36989,                0.20972,                 1.5842,                 2.1019,                 2.0463,             0.00019061,             0.00019061,             0.00019061
                     53,                 1.8221,                  2.246,                 2.3332,                 0.5491,                0.44693,                0.38182,                0.22988,                 1.4542,                 2.0361,                 1.9557,              0.0001868,              0.0001868,              0.0001868
                     54,                 1.7475,                 2.2677,                 2.3363,                0.58428,                0.42007,                0.37939,                0.23684,                 1.4124,                 1.9827,                 1.9118,             0.00018299,             0.00018299,             0.00018299
                     55,                 1.7214,                 2.2071,                 2.3092,                0.53298,                 0.4524,                0.39293,                0.23488,                 1.4811,                 1.9643,                 1.9475,             0.00017918,             0.00017918,             0.00017918
                     56,                 1.7483,                 2.2124,                 2.2833,                0.61346,                0.37642,                0.41025,                0.23993,                 1.4905,                  1.969,                 1.9422,             0.00017537,             0.00017537,             0.00017537
                     57,                 1.6768,                 2.1809,                 2.2931,                0.57817,                 0.4078,                 0.4046,                0.25043,                 1.4148,                 1.9106,                 1.8825,             0.00017156,             0.00017156,             0.00017156
                     58,                 1.6321,                  2.084,                 2.2753,                 0.5423,                0.39852,                 0.3869,                0.24139,                 1.4199,                 1.8917,                 1.8996,             0.00016774,             0.00016774,             0.00016774
